Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
600703084,00000421,false,Rx,0,3,08,00,00,00,00,00,00,00,
600707133,00000280,false,Rx,0,8,03,3E,C0,00,00,00,DE,40,
600707157,00000625,false,Rx,0,6,02,E0,FF,1D,20,00,00,00,
600711287,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
600711304,000001F9,false,Rx,0,8,28,00,14,1E,00,00,51,A8,
600711307,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
600715350,00000176,false,Rx,0,7,00,00,02,3C,00,00,0D,00,
600715365,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
600719434,00000176,false,Rx,0,7,00,00,02,38,00,00,0C,00,
600719450,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
600719453,000006E2,false,Rx,0,3,00,00,79,00,00,00,00,00,
600723575,00000174,false,Rx,0,8,FF,EF,FE,AA,0E,00,00,00,
600723591,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
600727651,000005C5,false,Rx,0,8,44,01,CF,E2,00,0C,00,7F,
600727667,00000285,false,Rx,0,8,00,00,00,00,00,00,78,FF,
600731743,00000180,false,Rx,0,8,14,1E,32,03,3D,00,34,10,
600731758,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
600731762,00000174,false,Rx,0,8,FF,EF,FE,AA,0F,00,00,00,
600735838,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
600735854,00000292,false,Rx,0,8,FF,F8,0D,80,0F,FE,00,00,
600739945,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
600739961,00000002,false,Rx,0,5,0D,00,00,07,82,00,00,00,
600744021,00000182,false,Rx,0,8,00,00,00,00,00,15,00,CF,
600744037,000001F9,false,Rx,0,8,28,00,14,1E,00,00,51,A8,
600744041,00000174,false,Rx,0,8,FF,EF,FE,AA,00,00,00,00,
600748136,00000284,false,Rx,0,8,00,00,00,00,00,00,79,FF,
600748152,0000060D,false,Rx,0,8,06,06,00,00,00,00,00,00,
600752232,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
600752248,00000002,false,Rx,0,5,0D,00,00,07,93,00,00,00,
600756322,000001F9,false,Rx,0,8,28,00,14,1E,00,00,51,A8,
600756337,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E3,
600756341,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
600760419,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
600760435,00000002,false,Rx,0,5,0D,00,00,07,E4,00,00,00,
600764522,00000160,false,Rx,0,7,33,D3,1F,00,08,FF,E8,00,
600764538,00000280,false,Rx,0,8,03,3F,C0,00,00,00,DB,40,
600768564,00000284,false,Rx,0,8,00,00,00,00,00,00,7A,00,
600768582,00000002,false,Rx,0,5,0D,00,00,07,A0,00,00,00,
600768585,0000035D,false,Rx,0,8,80,03,00,00,00,00,00,00,
600772673,000001F9,false,Rx,0,8,28,00,14,1E,00,00,51,A8,
600772690,00000176,false,Rx,0,7,00,00,02,3A,00,00,03,00,
600776747,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
600776762,00000292,false,Rx,0,8,FF,F8,13,80,0F,FE,00,00,
600780869,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E0,
600780889,00000002,false,Rx,0,5,0D,00,00,07,C6,00,00,00,
600780895,000001F9,false,Rx,0,8,28,00,14,1E,00,00,51,A8,
600784970,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
600784986,00000280,false,Rx,0,8,03,3F,C0,00,00,00,D8,40,
600789084,00000285,false,Rx,0,8,00,00,00,00,00,00,7B,02,
600789099,00000002,false,Rx,0,5,0D,00,00,07,D7,00,00,00,
600789103,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
600793210,00000180,false,Rx,0,8,14,1E,32,03,3D,00,3A,10,
600793226,000001F9,false,Rx,0,8,28,00,14,1E,00,00,51,A8,
600797304,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
600797320,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
600801366,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
600801382,00000002,false,Rx,0,5,0D,00,00,07,28,00,00,00,
600801386,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
600805479,00000160,false,Rx,0,7,33,D3,1F,00,08,FF,E8,00,
600805495,00000625,false,Rx,0,6,02,E0,FF,1D,20,00,00,00,
600809563,00000180,false,Rx,0,8,14,1E,31,F3,3D,00,3B,10,
600809579,00000351,false,Rx,0,8,00,00,00,00,00,00,00,06,
600813662,00000002,false,Rx,0,5,0D,00,00,07,39,00,00,00,
600813677,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
600813680,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
600817775,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E2,
600817791,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
600821808,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
600821825,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
600821829,00000182,false,Rx,0,8,00,00,00,00,00,1D,00,CF,
600825906,000005C5,false,Rx,0,8,44,01,CF,E2,00,0C,00,7F,
600825921,00000285,false,Rx,0,8,00,00,00,00,00,00,7D,04,
600829990,00000284,false,Rx,0,8,00,00,00,00,00,00,7D,03,
600830008,00000515,false,Rx,0,4,02,00,00,00,00,00,00,00,
600834362,00000180,false,Rx,0,8,14,1E,32,03,3D,00,3E,10,
600834386,00000182,false,Rx,0,8,00,00,00,00,00,1E,00,CF,
600838233,000001F9,false,Rx,0,8,28,00,14,1E,00,00,51,A8,
600838250,00000354,false,Rx,0,8,00,00,00,00,00,08,04,00,
600838253,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
600842321,00000002,false,Rx,0,5,0D,00,00,07,6C,00,00,00,
600842344,00000174,false,Rx,0,8,FF,EF,FE,AA,0A,00,00,00,
600846445,00000180,false,Rx,0,8,14,1E,31,F3,3D,00,3F,10,
600846461,00000280,false,Rx,0,8,03,3E,C0,00,00,00,D8,40,
600850554,00000284,false,Rx,0,8,00,00,00,00,00,00,7E,04,
600850576,00000002,false,Rx,0,5,0D,00,00,07,7D,00,00,00,
600850579,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
600850582,00000002,false,Rx,0,5,0D,00,00,07,0A,00,00,00,
600855303,00000174,false,Rx,0,8,FF,EF,FE,AA,0B,00,00,00,
600855319,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
600858745,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
600858767,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
600863425,00000002,false,Rx,0,5,0D,00,00,07,4E,00,00,00,
600863449,00000176,false,Rx,0,7,00,00,02,3A,00,00,0B,00,
600863452,00000174,false,Rx,0,8,FF,EF,FE,AA,0C,00,00,00,
600866928,00000284,false,Rx,0,8,00,00,00,00,00,00,7F,05,
600866944,00000176,false,Rx,0,7,00,00,02,38,00,00,0C,00,
600871095,0000035D,false,Rx,0,8,80,03,00,00,00,00,00,00,
600871118,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
600875291,00000002,false,Rx,0,5,0D,00,00,07,5F,00,00,00,
600875315,00000292,false,Rx,0,8,FF,F8,10,80,0F,FE,00,00,
600875318,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E1,
600879261,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
600879283,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
600883426,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
600883451,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
600887406,00000280,false,Rx,0,8,03,40,C0,00,00,00,DA,40,
600887422,00000284,false,Rx,0,8,00,00,00,00,00,00,80,06,
600887425,00000002,false,Rx,0,5,0D,00,00,07,A0,00,00,00,
600891456,00000358,false,Rx,0,8,00,88,00,00,00,00,00,00,
600891471,00000176,false,Rx,0,7,00,00,02,38,00,00,0F,00,
600895553,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
600895569,00000182,false,Rx,0,8,00,00,00,00,00,14,00,CF,
600899660,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E2,
600899674,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
600899679,00000002,false,Rx,0,5,0D,00,00,07,82,00,00,00,
600903718,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
600903732,00000280,false,Rx,0,8,03,40,C0,00,00,00,D7,40,
600907830,00000182,false,Rx,0,8,00,00,00,00,00,15,00,CF,
600907845,00000284,false,Rx,0,8,00,00,00,00,00,00,81,07,
600911941,00000002,false,Rx,0,5,0D,00,00,07,93,00,00,00,
600911954,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
600911959,00000174,false,Rx,0,8,FF,EF,FE,AA,01,00,00,00,
600916030,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
600916044,00000160,false,Rx,0,7,33,D3,1D,00,08,FF,E8,00,
600920205,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
600920220,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
600920225,00000002,false,Rx,0,5,0D,00,00,07,E4,00,00,00,
600924240,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
600924254,00000174,false,Rx,0,8,FF,EF,FE,AA,02,00,00,00,
600928289,000006E2,false,Rx,0,3,00,00,7B,00,00,00,00,00,
600928303,00000176,false,Rx,0,7,00,00,02,38,00,00,02,00,
600928307,00000515,false,Rx,0,4,02,00,00,00,00,00,00,00,
600932363,00000002,false,Rx,0,5,0D,00,00,07,F5,00,00,00,
600932377,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
600932382,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
600936525,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
600936539,00000292,false,Rx,0,8,FF,F8,10,80,0F,FE,00,00,
600940601,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
600940615,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
600940620,00000002,false,Rx,0,5,0D,00,00,07,C6,00,00,00,
600944727,00000421,false,Rx,0,3,08,00,00,00,00,00,00,00,
600944762,00000280,false,Rx,0,8,03,3F,C0,00,00,00,DB,40,
600948768,00000160,false,Rx,0,7,33,D3,1F,00,08,FF,E8,00,
600948789,00000182,false,Rx,0,8,00,00,00,00,00,19,00,CF,
600948794,00000002,false,Rx,0,5,0D,00,00,07,D7,00,00,00,
600952894,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
600952913,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
600952919,00000174,false,Rx,0,8,FF,EF,FE,AA,05,00,00,00,
600957009,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
600957032,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E1,
600961096,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
600961112,00000002,false,Rx,0,5,0D,00,00,07,28,00,00,00,
600965195,00000176,false,Rx,0,7,00,00,02,3C,00,00,05,00,
600965210,00000174,false,Rx,0,8,FF,EF,FE,AA,06,00,00,00,
600969299,00000551,false,Rx,0,8,7A,EF,00,80,FF,02,80,FF,
600969315,0000035D,false,Rx,0,8,80,03,00,00,00,00,00,00,
600969320,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
600973383,00000002,false,Rx,0,5,0D,00,00,07,39,00,00,00,
600973398,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
600973403,00000180,false,Rx,0,8,14,05,31,F3,3D,00,3C,10,
600977482,000001F9,false,Rx,0,8,28,00,14,05,00,00,51,A8,
600977496,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
600981555,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
600981569,00000002,false,Rx,0,5,0D,00,00,07,0A,00,00,00,
600985680,00000280,false,Rx,0,8,03,3E,C0,00,00,00,DB,40,
600985695,00000285,false,Rx,0,8,00,00,00,00,00,00,85,0C,
600989753,00000284,false,Rx,0,8,00,00,00,00,00,00,85,0B,
600989767,000001F9,false,Rx,0,8,28,00,14,05,00,00,51,A8,
600989772,00000358,false,Rx,0,8,00,88,00,00,00,00,00,00,
600993857,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
600993882,00000176,false,Rx,0,7,00,00,02,38,00,00,06,00,
600997959,00000292,false,Rx,0,8,FF,F8,13,80,0F,FE,00,00,
600997973,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E3,
601002017,000001F9,false,Rx,0,8,28,00,14,05,00,00,51,A8,
601002031,00000174,false,Rx,0,8,FF,EF,FE,AA,0A,00,00,00,
601002036,00000421,false,Rx,0,3,08,00,00,00,00,00,00,00,
601006188,00000280,false,Rx,0,8,03,3D,C0,00,00,00,DA,40,
601006201,00000285,false,Rx,0,8,00,00,00,00,00,00,86,0D,
601010221,00000625,false,Rx,0,6,02,E0,FF,1D,20,00,00,00,
601010234,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
601010240,00000354,false,Rx,0,8,00,00,00,00,00,08,04,00,
601014293,00000174,false,Rx,0,8,FF,EF,FE,AA,0B,00,00,00,
601014311,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
601018420,00000292,false,Rx,0,8,FF,F8,10,80,0F,FE,00,00,
601018437,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
601022523,00000002,false,Rx,0,5,0D,00,00,07,4E,00,00,00,
601022539,00000176,false,Rx,0,7,00,00,02,3A,00,00,0B,00,
601026630,00000174,false,Rx,0,8,FF,EF,FE,AA,0C,00,00,00,
601026652,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
601026658,000001F9,false,Rx,0,8,28,00,14,05,00,00,51,A8,
601030718,00000515,false,Rx,0,4,02,00,00,00,00,00,00,00,
601030734,00000002,false,Rx,0,5,0D,00,00,07,5F,00,00,00,
601030739,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
601034825,00000174,false,Rx,0,8,FF,EF,FE,AA,0D,00,00,00,
601034841,00000292,false,Rx,0,8,FF,F8,10,80,0F,FE,00,00,
601038901,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
601038916,00000180,false,Rx,0,8,14,05,31,F3,3D,00,32,10,
601043002,000001F9,false,Rx,0,8,28,00,14,05,00,00,51,A8,
601043018,00000002,false,Rx,0,5,0D,00,00,07,A0,00,00,00,
601043024,00000280,false,Rx,0,8,03,3F,C0,00,00,00,DD,40,
601047107,00000285,false,Rx,0,8,00,00,00,00,00,00,88,0F,
601047121,00000284,false,Rx,0,8,00,00,00,00,00,00,88,0E,
601051212,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
601051227,000001F9,false,Rx,0,8,28,00,14,05,00,00,51,A8,
601055300,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
601055315,00000176,false,Rx,0,7,00,00,02,38,00,00,0C,00,
601055320,00000292,false,Rx,0,8,FF,F8,10,80,0F,FE,00,00,
601059404,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
601059418,00000160,false,Rx,0,7,33,D3,1F,00,08,FF,E8,00,
601063506,00000174,false,Rx,0,8,FF,EF,FE,AA,00,00,00,00,
601063530,00000421,false,Rx,0,3,08,00,00,00,00,00,00,00,
601063536,00000280,false,Rx,0,8,03,3E,C0,00,00,00,D7,40,
601067545,00000285,false,Rx,0,8,00,00,00,00,00,00,89,10,
601067564,00000284,false,Rx,0,8,00,00,00,00,00,00,89,0F,
601071677,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
601071693,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E2,
601075838,00000174,false,Rx,0,8,FF,EF,FE,AA,01,00,00,00,
601075856,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
601075859,00000292,false,Rx,0,8,FF,F8,10,80,0F,FE,00,00,
601079909,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
601079924,00000002,false,Rx,0,5,0D,00,00,07,E4,00,00,00,
601084376,00000176,false,Rx,0,7,00,00,02,3C,00,00,01,00,
601084401,00000174,false,Rx,0,8,FF,EF,FE,AA,02,00,00,00,
601084405,00000560,false,Rx,0,3,48,14,35,00,00,00,00,00,
601088155,00000284,false,Rx,0,8,00,00,00,00,00,00,8A,10,
601088198,00000160,false,Rx,0,7,33,D3,1F,00,08,FF,E8,00,
601092367,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
601092389,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
601092392,00000174,false,Rx,0,8,FF,EF,FE,AA,03,00,00,00,
601096328,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E0,
601096343,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
601100408,00000176,false,Rx,0,7,00,00,02,38,00,00,02,00,
601100424,00000160,false,Rx,0,7,33,D3,1F,00,08,FF,E8,00,
601105107,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
601105122,00000280,false,Rx,0,8,03,3F,C0,00,00,00,DB,40,
601108613,00000285,false,Rx,0,8,00,00,00,00,00,00,8B,12,
601108634,00000625,false,Rx,0,6,02,E0,FF,1D,20,00,00,00,
601108638,00000180,false,Rx,0,8,14,1E,31,F3,3D,00,38,10,
601113432,00000351,false,Rx,0,8,00,00,00,00,00,00,00,06,
601113454,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
601116796,00000160,false,Rx,0,7,33,D3,1F,00,08,FF,E8,00,
601116812,00000292,false,Rx,0,8,FF,F8,10,80,0F,FE,00,00,
601120928,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
601120949,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
601125114,00000174,false,Rx,0,8,FF,EF,FE,AA,06,00,00,00,
601125136,00000421,false,Rx,0,3,08,00,00,00,00,00,00,00,
601125140,000005C5,false,Rx,0,8,44,01,CF,E2,00,0C,00,7F,
601129096,00000285,false,Rx,0,8,00,00,00,00,00,00,8C,13,
601129118,00000284,false,Rx,0,8,00,00,00,00,00,00,8C,12,
601129121,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
601133246,00000174,false,Rx,0,8,FF,EF,FE,AA,07,00,00,00,
601133268,00000176,false,Rx,0,7,00,00,02,3A,00,00,07,00,
601137240,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
601137256,00000292,false,Rx,0,8,FF,F8,10,80,0F,FE,00,00,
601141319,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
601141342,000001F9,false,Rx,0,8,28,00,14,1E,00,00,51,A8,
601145509,00000174,false,Rx,0,8,FF,EF,FE,AA,08,00,00,00,
601145527,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
601149523,00000280,false,Rx,0,8,03,3E,C0,00,00,00,D7,40,
601149540,0000060D,false,Rx,0,8,06,06,00,00,00,00,00,00,
601149543,0000054C,false,Rx,0,8,78,78,C0,00,00,80,04,08,
601153638,000001F9,false,Rx,0,8,28,00,14,1E,00,00,51,A8,
601153652,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
601157738,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
601157753,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
601157757,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
601161837,00000002,false,Rx,0,5,0D,00,00,07,6C,00,00,00,
601161852,00000180,false,Rx,0,8,14,1E,32,03,3D,00,3E,10,
601165937,000001F9,false,Rx,0,8,28,00,14,1E,00,00,51,A8,
601165952,00000284,false,Rx,0,8,00,00,00,00,00,00,8E,14,
601169997,00000354,false,Rx,0,8,00,00,00,00,00,00,04,00,
601170012,0000035D,false,Rx,0,8,80,03,00,00,00,00,00,00,
601174117,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
601174132,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
601174136,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E0,
601178224,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
601178240,00000002,false,Rx,0,5,0D,00,00,07,7D,00,00,00,
601182262,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
601182277,00000002,false,Rx,0,5,0D,00,00,07,4E,00,00,00,
601182280,00000280,false,Rx,0,8,03,3E,C0,00,00,00,D4,40,
601186420,00000285,false,Rx,0,8,00,00,00,00,00,00,8F,16,
601186435,00000284,false,Rx,0,8,00,00,00,00,00,00,8F,15,
601190507,00000160,false,Rx,0,7,33,D3,1F,00,08,FF,E8,00,
601190521,00000358,false,Rx,0,8,00,88,00,00,00,00,00,00,
601194584,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
601194600,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
601198660,00000292,false,Rx,0,8,FF,F8,0D,80,0F,FE,00,00,
601198679,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E1,
601198682,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
601202821,00000174,false,Rx,0,8,FF,EF,FE,AA,0E,00,00,00,
601202841,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
601206890,00000280,false,Rx,0,8,03,3F,C0,00,00,00,DA,40,
601206905,00000285,false,Rx,0,8,00,00,00,00,00,00,90,17,
601210981,00000625,false,Rx,0,6,02,E0,FF,1D,20,00,00,00,
601210996,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
601211000,00000580,false,Rx,0,5,00,79,40,B4,6F,00,00,00,
601215092,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
601215107,00000354,false,Rx,0,8,00,00,00,00,00,10,04,00,
601219233,00000292,false,Rx,0,8,FF,F8,0D,80,0F,FE,00,00,
601219249,00000002,false,Rx,0,5,0D,00,00,07,82,00,00,00,
601223291,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E2,
601223307,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
601223310,00000176,false,Rx,0,7,00,00,02,3A,00,00,00,00,
601227390,00000280,false,Rx,0,8,03,3F,C0,00,00,00,DE,40,
601227405,00000515,false,Rx,0,4,02,00,00,00,00,00,00,00,
601231472,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
601231487,00000002,false,Rx,0,5,0D,00,00,07,93,00,00,00,
601231490,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
601235591,00000160,false,Rx,0,7,33,D3,1E,00,08,FF,E8,00,
601235606,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E3,
601235610,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
601239684,00000180,false,Rx,0,8,14,1E,32,03,3D,00,34,10,
601239699,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
601243776,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
601243792,00000280,false,Rx,0,8,03,3E,C0,00,00,00,D7,40,
601247896,00000284,false,Rx,0,8,00,00,00,00,00,00,92,18,
601247913,00000002,false,Rx,0,5,0D,00,00,07,E4,00,00,00,
601251936,0000060D,false,Rx,0,8,06,06,00,00,00,00,00,00,
601251955,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
601251959,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
601256050,00000180,false,Rx,0,8,14,05,32,03,3D,00,37,10,
601256069,000001F9,false,Rx,0,8,28,00,14,05,00,00,51,A8,
601260152,00000292,false,Rx,0,8,FF,F8,10,80,0F,FE,00,00,
601260195,00000002,false,Rx,0,5,0D,00,00,07,C6,00,00,00,
601260201,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
601264301,00000174,false,Rx,0,8,FF,EF,FE,AA,04,00,00,00,
601264318,00000176,false,Rx,0,7,00,00,02,40,00,00,04,00,
601268346,00000280,false,Rx,0,8,03,40,C0,00,00,00,DC,40,
601268363,0000035D,false,Rx,0,8,80,03,00,00,00,00,00,00,
601272446,00000002,false,Rx,0,5,0D,00,00,07,D7,00,00,00,
601272462,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
601272466,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
601276546,00000174,false,Rx,0,8,FF,EF,FE,AA,05,00,00,00,
601276563,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
601276567,00000176,false,Rx,0,7,00,00,02,3A,00,00,05,00,
601280545,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
601280568,00000002,false,Rx,0,5,0D,00,00,07,28,00,00,00,
601284738,00000174,false,Rx,0,8,FF,EF,FE,AA,06,00,00,00,
601284754,00000280,false,Rx,0,8,03,3E,C0,00,00,00,DA,40,
601288818,00000284,false,Rx,0,8,00,00,00,00,00,00,94,1A,
601288835,00000176,false,Rx,0,7,00,00,02,3A,00,00,06,00,
601292899,00000358,false,Rx,0,8,00,88,00,00,00,00,00,00,
601292915,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
601292919,000001F9,false,Rx,0,8,28,00,14,1E,00,00,51,A8,
601297025,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E2,
601297040,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
601301118,00000002,false,Rx,0,5,0D,00,00,07,39,00,00,00,
601301133,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
601301136,00000421,false,Rx,0,3,08,00,00,00,00,00,00,00,
601305198,00000182,false,Rx,0,8,00,00,00,00,00,1C,00,CF,
601305213,00000280,false,Rx,0,8,03,3E,C0,00,00,00,D6,40,
601309320,00000284,false,Rx,0,8,00,00,00,00,00,00,95,1B,
601309335,00000625,false,Rx,0,6,02,E0,FF,1D,20,00,00,00,
601309338,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
601313403,00000176,false,Rx,0,7,00,00,02,3A,00,00,09,00,
601313420,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
601317484,00000180,false,Rx,0,8,14,1E,31,D3,3D,00,3D,10,
601317501,00000580,false,Rx,0,5,00,7A,40,B6,6F,00,00,00,
601321589,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
601321605,00000002,false,Rx,0,5,0D,00,00,07,6C,00,00,00,
601321608,00000002,false,Rx,0,5,0D,00,00,07,0A,00,00,00,
601325651,00000174,false,Rx,0,8,FF,EF,FE,AA,0A,00,00,00,
601325669,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
601329794,00000284,false,Rx,0,8,00,00,00,00,00,00,96,1C,
601329810,00000515,false,Rx,0,4,02,00,00,00,00,00,00,00,
601329814,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
601333857,00000002,false,Rx,0,5,0D,00,00,07,7D,00,00,00,
601333870,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
601333874,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E0,
601337949,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
601337965,00000176,false,Rx,0,7,00,00,02,3E,00,00,0A,00,
601342082,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CF,
