Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
212956,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E3,
212973,00000280,false,Rx,0,8,03,3F,C0,00,00,00,D9,40,
217061,00000160,false,Rx,0,7,33,C3,22,00,08,FF,E8,00,
217077,00000182,false,Rx,0,8,00,00,00,00,00,12,40,CF,
221114,000001F9,false,Rx,0,8,28,00,14,9B,00,00,51,A8,
221130,00000284,false,Rx,0,8,00,00,00,00,00,00,1A,A0,
221134,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
225192,00000160,false,Rx,0,7,33,C3,22,00,08,FF,E8,00,
225207,0000060D,false,Rx,0,8,06,06,00,00,00,00,00,00,
229336,00000160,false,Rx,0,7,33,C3,22,00,08,FF,E8,00,
229352,000001F9,false,Rx,0,8,28,00,14,82,00,00,51,A8,
229356,00000421,false,Rx,0,3,08,00,00,00,00,00,00,00,
233430,00000280,false,Rx,0,8,03,3E,C0,00,00,00,DB,40,
233447,00000180,false,Rx,0,8,14,82,32,23,3C,00,33,11,
237528,00000160,false,Rx,0,7,33,C3,22,00,08,FF,E8,00,
237544,00000285,false,Rx,0,8,00,00,00,00,00,00,1B,A2,
241533,00000284,false,Rx,0,8,00,00,00,00,00,00,1B,A1,
241556,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
241561,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
245734,0000035D,false,Rx,0,8,80,03,00,00,10,00,00,00,
245751,00000160,false,Rx,0,7,33,C3,22,00,08,FF,E8,00,
249798,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
249819,00000354,false,Rx,0,8,00,00,00,00,00,00,14,00,
253870,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E1,
253888,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
253894,00000280,false,Rx,0,8,03,3F,C0,00,00,00,DB,40,
257966,00000160,false,Rx,0,7,33,C3,22,00,08,FF,E8,00,
257984,000001F9,false,Rx,0,8,28,00,14,69,00,00,51,A8,
262059,00000284,false,Rx,0,8,00,00,00,00,00,00,1C,A2,
262076,00000174,false,Rx,0,8,FF,EF,FE,AA,05,00,00,00,
266128,00000358,false,Rx,0,8,00,88,00,00,00,00,00,00,
266144,00000002,false,Rx,0,5,0D,00,00,07,0A,00,00,00,
270246,00000160,false,Rx,0,7,33,D3,22,00,08,FF,E8,00,
270263,000001F9,false,Rx,0,8,28,00,14,69,00,00,51,A8,
270268,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E2,
274346,00000280,false,Rx,0,8,03,3E,C0,00,00,00,D6,40,
274362,00000002,false,Rx,0,5,0D,00,00,07,D7,00,00,00,
278444,00000002,false,Rx,0,5,0D,00,00,07,1B,00,00,00,
278460,00000625,false,Rx,0,6,02,E0,FF,1D,20,00,00,00,
278465,00000160,false,Rx,0,7,33,D3,22,00,08,FF,E8,00,
282578,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
282598,00000180,false,Rx,0,8,14,69,32,23,3D,00,38,11,
286673,00000351,false,Rx,0,8,00,00,00,00,00,00,00,06,
286692,00000002,false,Rx,0,5,0D,00,00,07,6C,00,00,00,
286697,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
290699,00000182,false,Rx,0,8,00,00,00,00,00,19,40,CF,
290719,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E3,
294842,00000176,false,Rx,0,7,00,00,02,4B,00,00,08,00,
294858,000005C5,false,Rx,0,8,44,01,CF,E2,00,0C,00,7F,
294862,00000002,false,Rx,0,5,0D,00,00,07,7D,00,00,00,
298910,00000160,false,Rx,0,7,33,D3,22,00,08,FF,E8,00,
298925,00000160,false,Rx,0,7,33,D3,22,00,08,FF,E8,00,
303071,00000284,false,Rx,0,8,00,00,00,00,00,00,1E,A4,
303085,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
303088,00000515,false,Rx,0,4,02,00,00,00,00,00,00,00,
307162,00000180,false,Rx,0,8,14,69,32,23,3D,00,3A,11,
307178,00000002,false,Rx,0,5,0D,00,00,07,4E,00,00,00,
307181,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
311265,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
311280,00000160,false,Rx,0,7,33,D3,23,00,08,FF,E8,00,
315340,00000280,false,Rx,0,8,03,3F,C0,00,00,00,D9,40,
315355,00000002,false,Rx,0,5,0D,00,01,07,4F,00,00,00,
319463,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
319479,00000182,false,Rx,0,8,00,00,00,00,00,1C,40,CF,
319482,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
323609,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
323625,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
323628,00000002,false,Rx,0,5,0D,00,01,07,B0,00,00,00,
327655,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
327671,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
331730,00000180,false,Rx,0,8,14,69,32,23,3D,00,3D,11,
331746,00000174,false,Rx,0,8,FF,EF,FE,AA,0C,00,00,00,
335837,00000280,false,Rx,0,8,03,3F,C0,00,00,00,D9,40,
335853,00000002,false,Rx,0,5,0D,00,00,07,B1,00,00,00,
335856,00000160,false,Rx,0,7,33,D3,22,00,08,FF,E8,00,
339931,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
339947,00000284,false,Rx,0,8,00,00,00,00,00,00,20,A6,
343996,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
344012,00000285,false,Rx,0,8,00,00,00,00,00,00,20,A7,
348108,0000035D,false,Rx,0,8,80,03,00,00,10,00,00,00,
348123,00000002,false,Rx,0,5,0D,00,00,07,82,00,00,00,
348127,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
352220,00000421,false,Rx,0,3,08,00,00,00,00,00,00,00,
352235,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
352239,00000280,false,Rx,0,8,03,3D,C0,00,00,00,DB,40,
356304,00000002,false,Rx,0,5,0D,00,00,07,93,00,00,00,
356352,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
360357,00000160,false,Rx,0,7,33,D3,22,00,08,FF,E8,00,
360367,00000174,false,Rx,0,8,FF,EF,FE,AA,0F,00,00,00,
364559,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
364579,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
364584,00000358,false,Rx,0,8,00,88,00,00,00,00,00,00,
368611,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
368629,00000292,false,Rx,0,8,FF,F8,0B,80,0F,FE,0E,00,
372663,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E3,
372683,00000176,false,Rx,0,7,00,00,02,40,00,00,00,00,
372687,00000560,false,Rx,0,3,46,17,0E,00,00,00,00,00,
376799,00000002,false,Rx,0,5,0D,00,00,07,F5,00,00,00,
376866,00000625,false,Rx,0,6,02,E0,FF,1D,20,00,00,00,
376872,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
380823,00000284,false,Rx,0,8,00,00,00,00,00,00,22,A8,
380834,00000180,false,Rx,0,8,14,69,32,33,3D,00,32,11,
384985,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
385088,00000351,false,Rx,0,8,00,00,00,00,00,00,00,06,
385110,00000002,false,Rx,0,5,0D,00,00,07,C6,00,00,00,
389029,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
389040,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
393176,000001F9,false,Rx,0,8,28,00,14,69,00,00,51,A8,
393191,00000280,false,Rx,0,8,03,40,C0,00,00,00,D5,40,
